time	n.risk	n.event	n.censor	estimate	std.error	conf.high	conf.low	strata
4633	16	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
4947	15	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
4988	14	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
5113	13	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
5203	12	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
5247	11	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
5490	10	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
5513	9	1	0	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
5518	8	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
5519	7	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
5937	6	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
7587	5	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
7619	4	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
7746	3	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
8379	2	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
11587	1	0	1	0.13776684244576867	0.2219545296493565	0.21284955318826648	0.08916956880191153	clusterID=1
27	163	0	1	1	0	1	1	clusterID=2
90	162	1	0	0.9938271604938271	0.006191980139726142	1	0.9818389085657727	clusterID=2
91	161	1	0	0.9876543209876543	0.008784104611578832	1	0.9707958803762323	clusterID=2
101	160	1	0	0.9814814814814814	0.010792065137302935	1	0.9609391494959167	clusterID=2
115	159	1	0	0.9753086419753085	0.012500976676955822	0.9995002867512673	0.9517025254725515	clusterID=2
125	158	1	0	0.9691358024691357	0.014020957364585244	0.996137520217921	0.9428660045071139	clusterID=2
126	157	1	0	0.9629629629629628	0.015408338784034142	0.992487819634613	0.9343164215151735	clusterID=2
146	156	1	0	0.9567901234567899	0.01669650852882024	0.9886186008621285	0.9259863607119471	clusterID=2
147	155	1	0	0.9506172839506171	0.017907176978341786	0.9845739092152738	0.9178317768606065	clusterID=2
150	154	1	0	0.9444444444444443	0.019055398349167647	0.9803844195713782	0.9098219951638404	clusterID=2
158	153	1	0	0.9382716049382714	0.020152118058611435	0.9760725231933947	0.9019346244408217	clusterID=2
166	152	1	0	0.9320987654320987	0.021205590067681475	0.9716551653610391	0.8941527194961377	clusterID=2
180	151	1	0	0.9259259259259258	0.02222222222222222	0.9671455421353565	0.8864630843552961	clusterID=2
183	150	1	0	0.919753086419753	0.02320710860491489	0.9625541715866973	0.8788552010368251	clusterID=2
194	149	1	0	0.9135802469135801	0.024164379788935555	0.9578896003469711	0.8713205230000982	clusterID=2
196	148	1	0	0.9074074074074072	0.025097441747368086	0.9531588867330096	0.8638519920220525	clusterID=2
203	147	2	0	0.8950617283950615	0.02690189989508346	0.9435217727136472	0.849090631298759	clusterID=2
222	145	1	0	0.8888888888888886	0.027777777777777776	0.9386246704682563	0.8417885035942537	clusterID=2
243	144	1	0	0.8827160493827158	0.028638566424214626	0.9336803414149816	0.8345336077837725	clusterID=2
252	143	1	0	0.8765432098765429	0.029485827357459735	0.928692015298363	0.827322714230326	clusterID=2
264	142	1	0	0.87037037037037	0.030320934606100847	0.9236625265605024	0.8201529886024167	clusterID=2
270	141	1	0	0.8641975308641971	0.031145106143410446	0.9185943789229493	0.8130219272922624	clusterID=2
282	140	0	1	0.8641975308641971	0.031145106143410446	0.9185943789229493	0.8130219272922624	clusterID=2
291	139	1	0	0.8579802824407138	0.031971078242091854	0.913463373466644	0.8058671934085242	clusterID=2
295	138	1	0	0.8517630340172303	0.032787849965504864	0.9082969513971824	0.7987478819589133	clusterID=2
304	137	1	0	0.8455457855937468	0.033596342194327417	0.903096975000117	0.7916621307864018	clusterID=2
306	136	1	0	0.8393285371702635	0.03439739001399908	0.897865120611322	0.7846082636874524	clusterID=2
331	135	1	0	0.83311128874678	0.03519175470947613	0.8926029034249461	0.7775847656042062	clusterID=2
332	134	1	0	0.8268940403232965	0.035980133752516255	0.8873116981717188	0.7705902619463275	clusterID=2
349	133	1	0	0.820676791899813	0.036763169179565194	0.881992756479011	0.7636235012310973	clusterID=2
350	132	1	0	0.8144595434763295	0.037541454668503435	0.8766472215419058	0.7566833404125056	clusterID=2
351	131	1	0	0.8082422950528461	0.03831554155529383	0.8712761405980213	0.7497687324065987	clusterID=2
364	130	1	0	0.8020250466293627	0.0390859439807187	0.8658804755954065	0.7428787154237617	clusterID=2
369	129	1	0	0.7958077982058792	0.03985314331853582	0.8604611123636963	0.7360124037977493	clusterID=2
401	128	1	0	0.7895905497823957	0.04061759200641087	0.8550188685375819	0.7291689800624117	clusterID=2
432	127	1	1	0.7833733013589124	0.04137971687766475	0.8495545004340298	0.7223476880746802	clusterID=2
443	125	1	0	0.777106314948041	0.04215207109867736	0.8440347862729031	0.7154849948765808	clusterID=2
463	124	1	0	0.7708393285371697	0.04292274769500085	0.838493641331804	0.7086437405486583	clusterID=2
476	123	2	0	0.7583053557154271	0.044460586802167246	0.8273495659724645	0.6950230424437526	clusterID=2
496	121	1	0	0.7520383693045558	0.04522846782955428	0.821747782212416	0.6882424524269197	clusterID=2
501	120	1	0	0.7457713828936845	0.04599611193800524	0.8161268683649657	0.6814810014249418	clusterID=2
519	119	1	0	0.7395043964828132	0.04676384543706959	0.8104873068611063	0.6747382072340421	clusterID=2
527	118	1	0	0.7332374100719419	0.047531984135782086	0.8048295490558751	0.6680136187341745	clusterID=2
535	117	1	0	0.7269704236610706	0.04830083461026431	0.799154017679655	0.6613068134380609	clusterID=2
544	116	1	0	0.7207034372501993	0.049070695356686525	0.7934611090342545	0.6546173952954615	clusterID=2
548	115	1	0	0.7144364508393279	0.04984185784495895	0.7877511949651431	0.6479449927213132	clusterID=2
556	114	1	0	0.7081694644284566	0.05061460748637281	0.7820246246367218	0.6412892568208495	clusterID=2
566	113	1	0	0.7019024780175853	0.05138922452661765	0.7762817261337448	0.6346498597885915	clusterID=2
569	112	1	0	0.695635491606714	0.05216598487409877	0.7705228079088373	0.6280264934612647	clusterID=2
574	111	1	0	0.6893685051958427	0.05294516087221554	0.7647481600933747	0.6214188680073788	clusterID=2
584	110	1	0	0.6831015187849714	0.05372702202319795	0.7589580556867117	0.6148267107384819	clusterID=2
592	109	1	0	0.6768345323741001	0.05451183567020058	0.7531527516368162	0.6082497650290378	clusterID=2
629	108	1	0	0.6705675459632288	0.05529986764359438	0.7473324898237047	0.601687789333529	clusterID=2
633	107	1	0	0.6643005595523575	0.05609138287675421	0.7414974979556599	0.59514055629081	clusterID=2
636	106	1	0	0.6580335731414861	0.05688664599609662	0.7356479903869863	0.5886078519069541	clusterID=2
639	105	1	0	0.6517665867306148	0.05768592188966306	0.7297841688650102	0.58208947480889	clusterID=2
646	104	1	0	0.6454996003197435	0.058489476258155725	0.723906223213117	0.57558523556204	clusterID=2
661	103	1	0	0.6392326139088722	0.05929757615200762	0.7180143319558255	0.5690949560459592	clusterID=2
662	102	0	1	0.6392326139088722	0.05929757615200762	0.7180143319558255	0.5690949560459592	clusterID=2
686	101	1	0	0.6329035781275962	0.06012663668037022	0.7120613886531373	0.562545513055252	clusterID=2
691	100	1	0	0.6265745423463203	0.06096082791025187	0.7060942849236428	0.5560102460806011	clusterID=2
695	99	1	0	0.6202455065650443	0.06180043746727286	0.7001131813777074	0.5494889949894863	clusterID=2
699	98	1	0	0.6139164707837683	0.0626457563527547	0.6941182284950894	0.5429816097997257	clusterID=2
708	97	1	0	0.6075874350024923	0.0634970795010283	0.6881095670823679	0.536487950223076	clusterID=2
720	96	1	0	0.6012583992212164	0.06435470633890676	0.6820873286916546	0.5300078852476163	clusterID=2
723	95	1	0	0.5949293634399404	0.06521894135014511	0.6760516360037039	0.5235412927558001	clusterID=2
730	94	1	0	0.5886003276586644	0.06609009464765694	0.6700026031781993	0.5170880591754096	clusterID=2
735	93	1	0	0.5822712918773885	0.06696848255623347	0.6639403361736886	0.5106480791609401	clusterID=2
737	92	1	0	0.5759422560961125	0.0678544282085129	0.6578649330393759	0.5042212553032156	clusterID=2
738	91	1	0	0.5696132203148365	0.0687482621569764	0.6517764841807362	0.49780749786527534	clusterID=2
745	90	1	0	0.5632841845335606	0.06965032300480033	0.6456750726007049	0.49140672454278644	clusterID=2
749	89	1	0	0.5569551487522846	0.07056095805847314	0.639560774118001	0.48501886024743407	clusterID=2
750	88	1	0	0.5506261129710086	0.07148052400518941	0.6334336575639681	0.4786438369119089	clusterID=2
773	87	1	0	0.5442970771897326	0.07240938761816335	0.6272937849591603	0.4722815933152815	clusterID=2
788	86	1	0	0.5379680414084567	0.07334792649316123	0.6211412116707542	0.465932074927685	clusterID=2
812	85	1	0	0.5316390056271807	0.07429652981973753	0.614975986551739	0.45959523377337347	clusterID=2
839	84	1	0	0.5253099698459047	0.07525559919087468	0.608798152062712	0.4532710283113339	clusterID=2
868	83	1	0	0.5189809340646288	0.07622554945497444	0.6026077443769998	0.44695942333275246	clusterID=2
874	82	1	0	0.5126518982833528	0.07720680961443052	0.5964047934697142	0.440660389874735	clusterID=2
889	81	1	0	0.5063228625020768	0.07819982377533367	0.5901893231912608	0.43437390514978574	clusterID=2
903	80	1	0	0.4999938267208009	0.07920505215322131	0.5839613513257204	0.42809995249063904	clusterID=2
