sample	cluster_assigned	method
BS_NG9X6SJA	1	hdbscan
BS_NPQJ20KX	0	hdbscan
BS_NQB91P48	2	hdbscan
BS_NRFQEQKP	2	hdbscan
BS_NRPG5K4K	2	hdbscan
BS_NS7GSHB9	0	hdbscan
BS_NT9NZYFD	0	hdbscan
BS_NWNB68G0	0	hdbscan
BS_NY5T05AK	1	hdbscan
BS_NYS8TRCB	0	hdbscan
BS_P277RYX5	0	hdbscan
BS_P2Y2NANM	0	hdbscan
BS_PDVD0GCM	0	hdbscan
BS_PEP9NZXN	2	hdbscan
BS_PK18H7E7	2	hdbscan
BS_PKW05VZV	0	hdbscan
BS_PN2CE34A	0	hdbscan
BS_PQ6QEVE8	0	hdbscan
BS_PQ7CQFYR	0	hdbscan
BS_PRCG6W20	0	hdbscan
BS_PWDRF91N	2	hdbscan
BS_Q2PBFNDF	1	hdbscan
BS_Q3TBCK4V	0	hdbscan
BS_Q6VH5GJ8	0	hdbscan
BS_Q79NP5YY	2	hdbscan
BS_Q7WNW1AS	0	hdbscan
BS_QBMW69AM	1	hdbscan
BS_QC3XCE6X	2	hdbscan
BS_QF1FGWVF	0	hdbscan
BS_QF5VVZX5	2	hdbscan
BS_QH82PBMB	0	hdbscan
BS_QMNH45Q2	0	hdbscan
BS_QQE8MWWV	1	hdbscan
BS_QRNSKFMS	2	hdbscan
BS_QTMN8HYC	0	hdbscan
BS_QTSXW7DA	0	hdbscan
BS_QV51J756	2	hdbscan
BS_R13X6TMW	0	hdbscan
BS_R244Z0WX	0	hdbscan
BS_R3AJB6VS	1	hdbscan
BS_R7V8BC98	0	hdbscan
BS_R81XA0F9	1	hdbscan
BS_R9CKW9DY	0	hdbscan
BS_RAQFEB0S	1	hdbscan
BS_RARBBY7C	0	hdbscan
BS_RC8E5TVQ	0	hdbscan
BS_RGSMX7QD	2	hdbscan
BS_RMT7ABN6	0	hdbscan
BS_RNANA568	1	hdbscan
BS_RPJ1EPHA	1	hdbscan
BS_RPKA4GF9	0	hdbscan
BS_RPZQQM2D	0	hdbscan
BS_RRAEQZ97	0	hdbscan
BS_RVSEDNJ4	0	hdbscan
BS_RWJZFTP9	2	hdbscan
BS_RYZG8SPC	0	hdbscan
BS_S1KK7XRH	2	hdbscan
BS_S458NMKH	2	hdbscan
BS_S4V9E1XJ	2	hdbscan
BS_S50KQEXV	2	hdbscan
BS_S7CZY2CH	0	hdbscan
BS_S9929Z8B	0	hdbscan
BS_SDA4RMMG	0	hdbscan
BS_SDZY6RZ3	2	hdbscan
BS_SFKZSJN1	0	hdbscan
BS_SH2S6SFN	0	hdbscan
BS_SHMC4902	2	hdbscan
BS_SJ0HXCD0	1	hdbscan
BS_SNE31RRX	0	hdbscan
BS_SQERZ97M	0	hdbscan
BS_SQX5E15Z	0	hdbscan
BS_SW6YC2DG	0	hdbscan
BS_SW8C9Y5Y	0	hdbscan
BS_SXRS2P6T	2	hdbscan
BS_T0MXH2CA	0	hdbscan
BS_T0RKFEKR	0	hdbscan
BS_T11NFKSD	0	hdbscan
BS_T1W4JA94	2	hdbscan
BS_T2QPMZCM	0	hdbscan
BS_T2X8ZD79	0	hdbscan
BS_T3H5AY8A	0	hdbscan
BS_T4JFN54G	2	hdbscan
BS_T55Y4Z0Y	0	hdbscan
BS_T5P5ME9M	0	hdbscan
BS_TDJXQBVY	1	hdbscan
BS_TG93XC55	0	hdbscan
BS_TMTV769C	0	hdbscan
BS_TRZZRYKF	1	hdbscan
BS_TV80600R	1	hdbscan
BS_TVV122JG	0	hdbscan
BS_TWFDEMBZ	1	hdbscan
BS_V036JAV6	0	hdbscan
BS_V0Q1G94N	2	hdbscan
BS_V11VZZH8	0	hdbscan
BS_V1J03963	0	hdbscan
BS_V2G1YE8R	1	hdbscan
BS_V33RCK1Y	0	hdbscan
BS_V3REENH9	0	hdbscan
BS_V4XCTG09	0	hdbscan
BS_V72GX2AZ	2	hdbscan
BS_V7BJM89K	0	hdbscan
BS_V7BZ049H	0	hdbscan
BS_V89HGTET	0	hdbscan
BS_V92ZMBXX	0	hdbscan
BS_VARR255N	0	hdbscan
BS_VBEY9DVY	0	hdbscan
BS_VMMJYN8Z	2	hdbscan
BS_VP3C8WZT	2	hdbscan
BS_VP5Y45Z7	2	hdbscan
BS_VR7FR1NE	2	hdbscan
BS_VSSBS981	1	hdbscan
BS_VTYNWK05	0	hdbscan
BS_VW85Q4XJ	2	hdbscan
BS_VZWXGYT2	0	hdbscan
BS_W3R88RFP	0	hdbscan
BS_W4HGV6E7	0	hdbscan
BS_W97QQYKQ	0	hdbscan
BS_WCRKYV0T	0	hdbscan
BS_WERNRP82	0	hdbscan
BS_WG203ECV	2	hdbscan
BS_WRQHPSXQ	0	hdbscan
BS_WXT1VK25	0	hdbscan
BS_WYMX429C	1	hdbscan
BS_X0F9AYEC	0	hdbscan
BS_X16PENSA	2	hdbscan
BS_X2EDW2ZB	0	hdbscan
BS_X59HSFGG	0	hdbscan
BS_X5DFR216	0	hdbscan
BS_X6GFVDVA	1	hdbscan
BS_X91K8KMG	0	hdbscan
BS_X9EGD530	0	hdbscan
BS_XGSA3GQE	2	hdbscan
BS_XKKB4MZV	0	hdbscan
BS_XV4GV9Y9	0	hdbscan
BS_XX39AH8F	0	hdbscan
BS_Y0PCBNJV	2	hdbscan
BS_Y274AC0H	0	hdbscan
BS_Y4ZQEPPD	0	hdbscan
BS_Y7F9E2E9	0	hdbscan
BS_Y7H24JZG	0	hdbscan
BS_Y7W8BR6B	1	hdbscan
BS_YA8RBGD8	0	hdbscan
BS_YASWHXJC	0	hdbscan
BS_YB2RXRHT	2	hdbscan
BS_YBGXGEM3	0	hdbscan
BS_YBGZ4BRP	0	hdbscan
BS_YCREDZTJ	0	hdbscan
BS_YEQVW4ND	0	hdbscan
BS_YG0A13JH	0	hdbscan
BS_YH817HDT	0	hdbscan
BS_YMAJC22S	0	hdbscan
BS_YT4E515V	0	hdbscan
BS_YVEEXAAT	0	hdbscan
BS_YVMEEBKC	2	hdbscan
BS_YWJKHMXV	0	hdbscan
BS_YY5B2XDD	0	hdbscan
BS_YZ2Z1Q6Y	0	hdbscan
BS_Z0AVVB1V	0	hdbscan
BS_Z0E26P1R	1	hdbscan
BS_Z5ATH1YR	0	hdbscan
BS_Z6BWR941	2	hdbscan
BS_Z7Y2466H	0	hdbscan
BS_ZHRGDRBW	0	hdbscan
BS_ZJY7Y34M	0	hdbscan
BS_ZK6WE17T	0	hdbscan
BS_ZN2P8BKH	0	hdbscan
BS_ZRF3A49T	0	hdbscan
BS_ZRM0W01M	0	hdbscan
BS_ZTWGFWTX	0	hdbscan
BS_ZV9Z3SY6	0	hdbscan
BS_ZVX2GRD6	0	hdbscan
BS_ZVZDDW2G	0	hdbscan
BS_ZZMYDZJW	0	hdbscan
BS_ZZWMD6FA	0	hdbscan
